county,fips,name,type,phone,title_raw
Goliad,48175,"Cromeens, Brian M.",district_attorney,(361) 275-2612,Dist Atty
Gonzales,48177,"Escobar, Eduardo (Eddie) X.",county_attorney,(830) 672-6527,Co Atty
Gray,48179,"Seabourn, Joshua M.",county_attorney,(806) 669-8003,Co Atty
Gray,48179,"McDonough, Franklin",district_attorney,(806) 669-8035,Dist Atty
Grayson,48181,"Hill, John Kermit",criminal_district_attorney,(903) 813-4361,Crim Dist Atty
Gregg,48183,"Moore, John W.",criminal_district_attorney,(903) 236-8440,Crim Dist Atty
Grimes,48185,"Fultz, Jon C.",county_attorney,(936) 873-6456,Co Atty
Grimes,48185,"Bender, Andria",district_attorney,(936) 873-2137,Dist Atty
Guadalupe,48187,"Willborn, David",county_attorney,(830) 303-6130,Co Atty
Guadalupe,48187,"Willborn, David",district_attorney,(830) 303-6130,Dist Atty
Hale,48189,"Tirey, James (Jim) D.",county_attorney,(806) 291-5306,Co Atty
Hale,48189,"Hatch, Wally",district_attorney,(806) 291-5241,Dist Atty
Hall,48191,"Caudle, Harley",county_attorney,(806) 447-0055,Co Atty
Hall,48191,"Inman, Luke McLean",district_attorney,(806) 447-0055,Dist Atty
Hamilton,48193,"Henkes, Mark C.",county_attorney,(254) 386-3217,Co Atty
Hamilton,48193,"Sibley, Adam",district_attorney,(254) 435-2994,Dist Atty
Hansford,48195,"Nelson, Cheryl",county_attorney,(806) 659-4156,Co Atty
Hansford,48195,"Snider, Mark W.",district_attorney,(806) 878-4036,Dist Atty
Hardeman,48197,"Watson, Stanley R.",county_attorney,(940) 663-5222,Co Atty
Hardeman,48197,"Whitsitt, Jon",district_attorney,(940) 553-3346,Dist Atty
Hardin,48199,"Minick, Matt",county_attorney,(409) 246-5165,Co Atty
Hardin,48199,"Walton, Rebecca R.",district_attorney,(409) 246-5160,Dist Atty
Harris,48201,"Menefee, Christian",county_attorney,(713) 755-5101,Co Atty
Harris,48201,"Ogg, Kim",district_attorney,(713) 274-5800,Dist Atty
Harrison,48203,"McCain, Reid",criminal_district_attorney,(903) 935-8408,Crim Dist Atty
Hartley,48205,"Elliott, Robert L.",county_attorney,(806) 235-2603,Co Atty
Hartley,48205,"Anchondo, Erin Lands",district_attorney,(806) 935-5654,Dist Atty
Haskell,48207,"Fouts, Kristen L.",county_attorney,(940) 864-2066,Co Atty
Haskell,48207,"Fouts, Mike",district_attorney,(940) 864-2072,Dist Atty
Hays,48209,"Higgins, Kelly",criminal_district_attorney,(512) 393-7600,Crim Dist Atty
Hemphill,48211,"Miller, Kyle",county_attorney,(806) 323-5521,Co Atty
Hemphill,48211,"McDonough, Franklin",district_attorney,(806) 669-8035,Dist Atty
Henderson,48213,"Davis, Clint",county_attorney,(903) 675-6112,Co Atty
Henderson,48213,"Palmer, Jenny",district_attorney,(903) 675-6100,Dist Atty
Hidalgo,48215,"Rodriguez, Ricardo",criminal_district_attorney,(956) 318-2300,Crim Dist Atty
Hill,48217,"Holmes, David",county_attorney,(254) 582-4047,Co Atty
Hill,48217,"Pratt, Mark F.",district_attorney,(254) 582-4070,Dist Atty
Hockley,48219,"Hord, Anna D.",county_attorney,(806) 894-5455,Co Atty
Hockley,48219,"Yandell, Donnie",district_attorney,(806) 894-3130,Dist Atty
Hood,48221,"Mills, Matt",county_attorney,(817) 579-3216,Co Atty
Hood,48221,"Sinclair, Timothy (Ryan) R.",district_attorney,(817) 579-3245,Dist Atty
Hopkins,48223,"Rabe, Dusty",county_attorney,(903) 438-4017,Co Atty
Hopkins,48223,"Ramsay, Will",district_attorney,(903) 885-0641,Dist Atty
Houston,48225,"Massey, Kristina",county_attorney,(936) 544-3255,Co Atty
Houston,48225,"Session, Daphne Lynette",district_attorney,(936) 544-3255,Dist Atty
Howard,48227,"Hamby, Joshua",county_attorney,(432) 264-2205,Co Atty
Howard,48227,"Hamby, Joshua",district_attorney,(432) 264-2220,Dist Atty
Hudspeth,48229,"Bramblett, Coll",county_attorney,(915) 877-4173,Co Atty
Hudspeth,48229,"Hicks, Jr., Bill",district_attorney,(915) 546-2059,Dist Atty
Hunt,48231,"Cornuaud, Scott A.",county_attorney,(903) 408-4112,Co Atty
Hunt,48231,"Walker, Noble",district_attorney,(903) 408-4180,Dist Atty
Hutchinson,48233,"Jones, Craig",county_attorney,(806) 273-0134,Co Atty
Hutchinson,48233,"Snider, Mark W.",district_attorney,(806) 878-4036,Dist Atty
Irion,48235,"Ridge, Jr., James F.",county_attorney,(325) 835-7101,Co Atty
Irion,48235,"Palmer, Allison",district_attorney,(325) 659-6584,Dist Atty
Jack,48237,"Dixon, Michael Brad",county_attorney,(940) 567-3321,Co Atty
Jack,48237,"Stainton, James M.",district_attorney,(940) 627-5257,Dist Atty
Jackson,48239,"Guenther, Pamela (Pam) E.",criminal_district_attorney,(361) 782-7178,Crim Dist Atty
Jasper,48241,"Pickle, Anne",criminal_district_attorney,(409) 384-4362,Crim Dist Atty
Jeff Davis,48243,"Eisen, Glen L.",county_attorney,(432) 426-4434,Co Atty
Jeff Davis,48243,"White, Ori",district_attorney,(432) 837-4420,Dist Atty
Jefferson,48245,"Kennedy, Kathleen",county_attorney,(409) 835-8550,Co Atty
Jefferson,48245,"Wortham, Bob",district_attorney,(409) 835-8550,Dist Atty
Jim Hogg,48247,"Gutierrez, Rodolfo V.",county_attorney,(361) 527-3425,Co Atty
Jim Hogg,48247,"Ramirez, Gocha",district_attorney,(956) 487-8635,Dist Atty
Jim Wells,48249,"Guerra, Michael",county_attorney,(361) 668-5700,Co Atty
Jim Wells,48249,"Garcia, Carlos O.",district_attorney,(361) 668-5716,Dist Atty
Johnson,48251,"Moore, Bill",county_attorney,(817) 556-6330,Co Atty
Johnson,48251,"Good, Timothy M.",district_attorney,(817) 556-6802,Dist Atty
Jones,48253,"Cowan, Chad",county_attorney,(325) 823-3771,Co Atty
Jones,48253,"Castro, Issac",district_attorney,(325) 823-2742,Dist Atty
Karnes,48255,"Tapia, Jennifer",county_attorney,(830) 780-3736,Co Atty
Karnes,48255,"Louis, Audrey",district_attorney,(830) 393-2200,Dist Atty
Kaufman,48257,"Wiley, Erleigh Norville",criminal_district_attorney,(469) 376-4770,Crim Dist Atty
Kendall,48259,"Bishop, Nicole",county_attorney,(830) 249-9343,Co Atty
Kendall,48259,"Bishop, Nicole S.",district_attorney,(830) 249-9343,Dist Atty
Kenedy,48261,"Strauss, Allison",county_attorney,(361) 294-5292,Co Atty
Kenedy,48261,"Hubert, John T.",district_attorney,(361) 595-8544,Dist Atty
Kent,48263,"Ballard, Bill",county_attorney,(806) 237-3975,Co Atty
Kent,48263,"Fouts, Mike",district_attorney,(940) 864-2072,Dist Atty
Kerr,48265,"Stebbins, Heather",county_attorney,(830) 792-2220,Co Atty
Kerr,48265,"Harpold, Stephen",district_attorney,(830) 315-2460,Dist Atty
Kerr,48265,"Wilke, Lucy",district_attorney,(830) 896-4744,Dist Atty
Kimble,48267,"Heap, Andrew J.",county_attorney,(325) 446-2378,Co Atty
Kimble,48267,"Ahlschwede, Tonya Spaeth",district_attorney,(325) 347-8400,Dist Atty
King,48269,"Poage, Trey",county_attorney,(806) 928-2872,Co Atty
King,48269,"Brooks, Jameson H.",district_attorney,(940) 889-2852,Dist Atty
Kinney,48271,"Durden, Todd",county_attorney,(830) 563-2240,Co Atty
Kinney,48271,"West, Suzanne",district_attorney,(830) 774-7562,Dist Atty
Kleberg,48273,"Sanchez, Kira Talip",county_attorney,(361) 595-8583,Co Atty
Kleberg,48273,"Hubert, John T.",district_attorney,(361) 595-8544,Dist Atty
Knox,48275,"Trevino, Lina",county_attorney,(940) 459-2241,Co Atty
Knox,48275,"Brooks, Jameson H.",district_attorney,(940) 889-2852,Dist Atty
La Salle,48283,"Martinez, Elizabeth",county_attorney,(830) 483-5127,Co Atty
La Salle,48283,"Louis, Audrey",district_attorney,(830) 393-2200,Dist Atty
Lamb,48279,"Redman, Rickie",county_attorney,(806) 385-4222,Co Atty
Lamb,48279,"Redman, Rickie",district_attorney,(806) 385-4222,Dist Atty
Lampasas,48281,"Greenwood, John K.",county_attorney,(512) 556-8282,Co Atty
Lampasas,48281,"Greenwood, John",district_attorney,(512) 556-8282,Dist Atty
Lavaca,48285,"Reeves, James",county_attorney,(361) 798-4757,Co Atty
Lee,48287,"Placke, Martin J.",county_attorney,(979) 542-3233,Co Atty
Lee,48287,"Placke, Martin J.",district_attorney,(979) 542-3233,Dist Atty
Leon,48289,"Cook, Keith",county_attorney,(903) 536-2131,Co Atty
Leon,48289,"Henson, James Caleb",district_attorney,(903) 536-7161,Dist Atty
Liberty,48291,"Poston, Matthew",county_attorney,(936) 336-4651,Co Atty
Liberty,48291,"Jennifer, Bergman",district_attorney,(936) 336-4609,Dist Atty
Limestone,48293,"Janes, Jeff",county_attorney,(254) 729-3814,Co Atty
Limestone,48293,"Janes, Jeff",district_attorney,(254) 729-3814,Dist Atty
Lipscomb,48295,"Bartosiewicz, Matthew",county_attorney,(806) 658-4545,Co Atty
Lipscomb,48295,"McDonough, Franklin",district_attorney,(806) 669-8035,Dist Atty
Live Oak,48297,"McWilliams, Dwayne",county_attorney,(361) 449-2733,Co Atty
Live Oak,48297,"McWilliams, Tiffany",district_attorney,(361) 621-1550,Dist Atty
Llano,48299,"Rogers, Dwain",county_attorney,(325) 247-7733,Co Atty
Llano,48299,"Thomas, Perry",district_attorney,(325) 247-5755,Dist Atty
Loving,48301,"Simonsen, Steve",county_attorney,(432) 309-9500,Co Atty
Loving,48301,"Reynolds, Randall W.",district_attorney,(432) 445-2010,Dist Atty
Lubbock,48303,"Stanek, K. Sunshine",criminal_district_attorney,(806) 775-1105,Crim Dist Atty
Lynn,48305,"Filley, Rebekah",county_attorney,(806) 561-5286,Co Atty
Lynn,48305,"Furlow, Philip Mack",district_attorney,(806) 872-2259,Dist Atty
Madison,48313,"Cain, Courtney",criminal_district_attorney,(936) 348-7049,Crim Dist Atty
Marion,48315,"Cariker, Timothy J.",county_attorney,(903) 665-2611,Co Atty
Marion,48315,"Cariker, Timothy J.",district_attorney,(903) 665-2611,Dist Atty
Martin,48317,"Napper, James J.",county_attorney,(432) 756-2838,Co Atty
Martin,48317,"Hamby, Joshua",district_attorney,(432) 264-2220,Dist Atty
Mason,48319,"Whitworth, Rebekah",county_attorney,(325) 347-5614,Co Atty
Mason,48319,"Ahlschwede, Tonya Spaeth",district_attorney,(325) 347-8400,Dist Atty
Matagorda,48321,"Chau, Kim",county_attorney,(979) 244-7645,Co Atty
Matagorda,48321,"Reis, Steven",district_attorney,(979) 244-7657,Dist Atty
Maverick,48323,"Iracheta, Jaime",county_attorney,(830) 773-3520,Co Atty
Maverick,48323,"Serna, Roberto",district_attorney,(830) 773-9268,Dist Atty
Mcculloch,48307,"Torres, James Gregory",county_attorney,(325) 597-9151,Co Atty
Mcculloch,48307,"Ahlschwede, Tonya Spaeth",district_attorney,(325) 347-8400,Dist Atty
Mclennan,48309,"Tetens, Josh",criminal_district_attorney,(254) 757-5084,Crim Dist Atty
Mcmullen,48311,"Kreider-Dusek, Kimberly",county_attorney,(361) 274-3723,Co Atty
Mcmullen,48311,"McWilliams, Tiffany",district_attorney,(361) 358-1007,Dist Atty
Medina,48325,"Haby, Mark P.",criminal_district_attorney,(830) 741-6187,Crim Dist Atty
Menard,48327,"Davis, Luke",county_attorney,(325) 396-0866,Co Atty
Menard,48327,"Ahlschwede, Tonya Spaeth",district_attorney,(325) 347-8400,Dist Atty
Midland,48329,"Malm, Russell",county_attorney,(432) 688-4490,Co Atty
Midland,48329,"Nodolf, Laura",district_attorney,(432) 688-4411,Dist Atty
Milam,48331,"Price, Tony Brian",county_attorney,(254) 697-7013,Co Atty
Milam,48331,"Torrey, W. W.",district_attorney,(254) 697-7013,Dist Atty
Mills,48333,"Malone, Bill",county_attorney,(325) 648-2921,Co Atty
Mills,48333,"Murray, Micheal",district_attorney,(325) 646-0444,Dist Atty
Mitchell,48335,"Burleson, Sterling",county_attorney,(325) 728-3457,Co Atty
Mitchell,48335,"Thompson, Richard",district_attorney,(325) 235-8639,Dist Atty
Montague,48337,"Riddle, Clay",county_attorney,(940) 894-2261,Co Atty
Montague,48337,"Boggeman, Katie",district_attorney,(940) 894-6211,Dist Atty
Montgomery,48339,"Griffin, B. D.",county_attorney,(936) 539-7828,Co Atty
Montgomery,48339,"Ligon, Brett",district_attorney,(936) 539-7800,Dist Atty
Moore,48341,"Higginbotham, Scott",county_attorney,(806) 935-2407,Co Atty
Moore,48341,"Anchondo, Erin Lands",district_attorney,(806) 935-5654,Dist Atty
Morris,48343,"Shelton, Ricky",county_attorney,(903) 645-2021,Co Atty
Morris,48343,"Shelton, Ricky",district_attorney,(903) 645-2021,Dist Atty
Motley,48345,"Edwards, Tom",county_attorney,(806) 347-2391,Co Atty
Motley,48345,"Teegardin, Emily",district_attorney,(806) 983-2197,Dist Atty
Nacogdoches,48347,"Fleming, John",county_attorney,(936) 560-7788,Co Atty
Nacogdoches,48347,"Jones, Andrew",district_attorney,(936) 560-7766,Dist Atty
Navarro,48349,"Thompson, William",criminal_district_attorney,(903) 654-3045,Crim Dist Atty
Newton,48351,"Ponthier, Courtney J.",criminal_district_attorney,(409) 379-8600,Crim Dist Atty
Nolan,48353,"Brooks, Morgan",county_attorney,(325) 235-5469,Co Atty
Nolan,48353,"Thompson, Richard",district_attorney,(325) 235-8639,Dist Atty
Nueces,48355,"Dorsey, Jenny",county_attorney,(361) 888-0391,Co Atty
Nueces,48355,"Granberry, Jimmy",district_attorney,(361) 888-0286,Dist Atty
Ochiltree,48357,"Meraz, Jose N.",county_attorney,(806) 435-8035,Co Atty
Ochiltree,48357,"Meraz, Jose",district_attorney,(806) 435-8035,Dist Atty
Ochiltree,48357,"Meraz, Jose N.",district_attorney,(806) 435-8035,Dist Atty
Oldham,48359,"Birdsong, Kent",county_attorney,(806) 639-2130,Co Atty
Orange,48361,"Winfree, Krispen Walker",county_attorney,(409) 883-6764,Co Atty
Orange,48361,"Winfree, Krispen Walker",district_attorney,(409) 883-6764,Dist Atty
Palo Pinto,48363,"Kostiha, Maegan",county_attorney,(940) 659-1278,Co Atty
Palo Pinto,48363,"Burnett, Kriste",district_attorney,(940) 659-1251,Dist Atty
Panola,48365,"Fields, Larry W.",criminal_district_attorney,(903) 693-0310,Crim Dist Atty
Parker,48367,"Forrest, John",county_attorney,(817) 594-8409,Co Atty
Parker,48367,"Swain, Jeff",district_attorney,(817) 598-6123,Dist Atty
Parmer,48369,"Actkinson, Jeff",county_attorney,(806) 481-3361,Co Atty
Parmer,48369,"Claborn II, Jackie Riley",district_attorney,(806) 272-4205,Dist Atty
Pecos,48371,"Lacy, Frank",county_attorney,(432) 336-3742,Co Atty
Pecos,48371,"Dodd, Stephen",district_attorney,(432) 336-6294,Dist Atty
Pecos,48371,"White, Ori",district_attorney,(432) 336-3322,Dist Atty
